clickability_test_id,impressions0,impressions1,clicks0,clicks1
51436060220cb800020001e3,2707,2606,50,42
51436061220cb800020001e8,2702,2720,21,14
51436061220cb800020001ec,2817,2945,22,29
51436063220cb800020002a7,5268,5414,112,120
51436063220cb800020002cc,5293,5377,58,74
51436063220cb800020002e3,5188,5257,178,171
51436065220cb800020003b8,5229,5219,115,100
51436065220cb800020003dc,2736,2608,41,45
51436066220cb8000200044b,4344,4324,77,92
51436066220cb80002000476,2701,2684,22,30
51436069220cb800020005ae,1907,1951,15,16
51436069220cb800020005c0,3577,3487,93,115
51436069220cb800020005c2,2687,2772,51,30
51436069220cb800020005c4,2753,2680,39,24
5143606a220cb800020005cc,2707,2684,19,34
5143606a220cb800020005cd,3548,3656,27,21
5143606b220cb800020005d1,2834,2994,17,13
5143606b220cb800020005d3,2806,2739,29,58
5143606b220cb800020005d7,2269,2340,15,32
5143606b220cb800020005da,3714,3738,42,27
5143606c220cb800020005dc,2541,2526,68,86
5143606c220cb800020005dd,2895,2806,55,32
5143606c220cb800020005e0,5582,5580,46,56
5143606d220cb8000200063e,3555,3505,6,17
5143606e220cb800020006ba,2698,2726,92,94
5143606f220cb80002000716,2840,2742,38,57
51436070220cb80002000739,5300,5152,156,129
51436070220cb80002000749,2615,2515,21,17
51436071220cb8000200077c,2726,2563,51,37
51436071220cb8000200077d,3869,3553,77,52
51436071220cb80002000787,3057,2947,73,35
51436071220cb80002000788,2678,2593,56,35
51436072220cb80002000798,2928,2749,37,33
51436073220cb800020007a8,3230,3012,50,36
51436073220cb800020007a9,2695,2730,17,28
51436074220cb800020007b0,2880,2907,19,12
51436074220cb800020007b1,2631,2654,71,69
51436075220cb800020007b3,2960,2944,3,7
51436075220cb800020007b4,2864,2893,39,52
51436075220cb800020007b8,3005,2985,34,31
51436075220cb800020007b9,2714,2739,76,54
51436075220cb800020007bb,2910,2831,41,39
51436075220cb800020007bc,2614,2682,40,41
51436075220cb800020007bd,2840,2756,80,131
51436076220cb800020007c0,3147,2930,28,15
51436076220cb800020007c1,8088,7891,113,59
51436079220cb800020008b2,2666,2677,69,34
51436079220cb800020008b3,2747,2675,89,61
